,date,CNTY_NM,xco2
8318,2019-09-24,Wise,406.8878271417426
8319,2019-09-26,Austin,404.7694856839656
8320,2019-09-26,Brazos,404.9522531010765
8321,2019-09-26,Burleson,405.8742598094538
8322,2019-09-26,Cooke,405.4126399014855
8323,2019-09-26,Dallas,405.7155754046769
8324,2019-09-26,Denton,405.71725434059965
8325,2019-09-26,Ellis,404.0012538704711
8326,2019-09-26,Fort Bend,401.96930058300495
8327,2019-09-26,Limestone,404.2266859739487
8328,2019-09-26,Matagorda,404.00592926224425
8329,2019-09-26,Navarro,405.394085516621
8330,2019-09-26,Robertson,404.45878659119154
8331,2019-09-26,Tarrant,405.74636073320727
8332,2019-09-26,Washington,404.55243235067803
8333,2019-09-26,Wharton,404.67469225404784
8334,2019-09-27,Culberson,404.4925438819871
8335,2019-09-27,Jeff Davis,403.85134851148484
8336,2019-09-27,Morris,408.8962707519531
8337,2019-09-27,Presidio,405.5906081868505
8338,2019-09-27,Titus,405.6884460449219
8339,2019-09-29,Brewster,403.85920243958634
8340,2019-09-29,Culberson,403.62683902366444
8341,2019-09-29,Jeff Davis,404.56453589672975
8342,2019-09-29,Presidio,403.29897299029915
8343,2019-10-01,Bee,404.88170806608935
8344,2019-10-01,Blanco,405.90582648292184
8345,2019-10-01,Burnet,405.4964190193762
8346,2019-10-01,Cameron,409.30962713900954
8347,2019-10-01,Comal,405.50533067916746
8348,2019-10-01,Comanche,403.82508720670427
8349,2019-10-01,Eastland,403.6324416202578
8350,2019-10-01,Guadalupe,405.73651562607307
8351,2019-10-01,Hays,404.3253605676338
8352,2019-10-01,Karnes,404.6781055097069
8353,2019-10-01,Kenedy,409.4931937288493
8354,2019-10-01,Kleberg,405.85700816546495
8355,2019-10-01,Lampasas,402.7181964678069
8356,2019-10-01,Mills,403.8700549401632
8357,2019-10-01,Nueces,404.2501722800634
8358,2019-10-01,San Patricio,404.83044610412503
8359,2019-10-01,Stephens,403.9980150992051
8360,2019-10-01,Throckmorton,403.48468734542047
8361,2019-10-01,Willacy,409.0254042239394
8362,2019-10-01,Wilson,408.32213524385895
8363,2019-10-01,Young,404.3149662417515
8364,2019-10-03,Burnet,405.3706400251637
8365,2019-10-03,Caldwell,405.1456635352224
8366,2019-10-03,Comanche,404.5616260555107
8367,2019-10-03,De Witt,407.77732201311136
8368,2019-10-03,Eastland,404.63050239244086
8369,2019-10-03,Goliad,405.2680298244875
8370,2019-10-03,Gonzales,406.2772025056976
8371,2019-10-03,Guadalupe,404.6076428494416
8372,2019-10-03,Hamilton,406.0913738355322
8373,2019-10-03,Hays,406.2936594709754
8374,2019-10-03,Lampasas,406.3486509645979
8375,2019-10-03,Mills,404.1443516095904
8376,2019-10-03,Nueces,409.66735832626
8377,2019-10-03,Refugio,404.6694332457803
8378,2019-10-03,San Patricio,406.61919362708386
8379,2019-10-03,Stephens,405.4734810314914
8380,2019-10-03,Throckmorton,410.0595348669837
